Age Range,Head Size(cm^3),Brain Weight(grams),Actual Gender,Predicted Gender
2,3499,1275,1,1
1,3876,1405,1,1
2,3580,1320,2,1
2,3391,1125,1,2
1,3785,1400,1,1
1,3145,1202,2,2
1,3982,1375,1,1
2,2864,1012,2,2
2,3571,1295,1,1
2,3381,1185,2,1
1,4005,1280,2,1
1,3302,1165,2,2
1,3787,1318,1,1
2,3687,1355,2,2
2,3594,1290,1,1
1,3458,1225,1,1
1,4747,1635,1,1
2,3692,1305,2,2
2,3309,1120,1,2
1,4424,1400,1,1
2,3402,1220,2,1
2,3399,1173,1,1
1,3530,1252,2,1
2,3233,1104,2,2
1,3443,1340,1,2
2,3268,1142,2,2
1,3571,1316,2,1
2,4430,1620,1,1
2,3394,1195,1,1
1,4423,1505,1,1
2,4051,1306,1,1
1,3642,1205,2,2
2,3352,1170,2,1
1,3095,1340,1,2
2,4430,1510,1,1
2,3866,1415,1,1
1,3451,1340,2,1
2,3067,1150,2,2
2,3383,1290,1,1
2,4057,1432,1,1
2,3249,1279,1,2
1,4034,1422,1,1
1,3497,1358,1,1
2,3899,1346,1,1
1,3632,1163,2,2
1,3358,1190,2,2
1,3334,1236,1,2
2,3124,1165,1,2
